ID_KEL;Nama_provinsi;nama_kota;nama_kecamatan;nama_kelurahan;SUSPEK;Perawatan RS;Isolasi di Rumah;Suspek Meninggal;Selesai Isolasi;PROBABLE;Perawatan RS;Isolasi di Rumah;Probable Meninggal;Selesai Isolasi;PELAKU PERJALANAN;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;KONTAK ERAT;Perawatan RS;Isolasi di Rumah;Selesai Isolasi;DISCARDED;Isolasi di Rumah;Meninggal;Selesai Isolasi;POSITIF;Dirawat;Sembuh;Meninggal;Self Isolation;Keterangan
3174071009;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;GANDARIA UTARA;3487;0;110;2;3375;7;0;0;0;7;32;0;9;23;3128;0;108;3020;13;0;0;13;1811;25;1707;32;47;
3175051001;DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;GEDONG;3382;0;98;0;3284;35;4;0;0;31;24;0;4;20;2905;0;119;2786;29;0;0;29;1657;22;1573;36;26;
3171071001;DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;GELORA;533;0;29;1;503;1;0;0;0;1;83;0;1;82;1001;0;62;939;1;0;0;1;297;6;282;4;5;
3173031007;DKI JAKARTA;JAKARTA BARAT;TAMAN SARI;GLODOK;711;0;56;0;655;1;1;0;0;0;1336;0;281;1055;1192;0;25;1167;6;0;0;6;356;4;330;10;12;
3171061004;DKI JAKARTA;JAKARTA PUSAT;MENTENG;GONDANGDIA;741;0;35;1;705;13;0;0;1;12;984;0;43;941;2461;0;120;2341;8;0;0;8;356;10;337;4;5;
3173021001;DKI JAKARTA;JAKARTA BARAT;GROGOL PETAMBURAN;GROGOL;2832;0;140;4;2688;11;1;0;0;10;107;0;9;98;4350;0;107;4243;46;0;0;46;1166;17;1097;22;30;
3174051005;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;GROGOL SELATAN;3764;0;155;5;3604;22;0;0;0;22;44;0;6;38;2992;0;140;2852;20;0;0;20;1530;18;1442;31;39;
3174051004;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN LAMA;GROGOL UTARA;3620;0;144;4;3472;15;1;0;0;14;55;0;6;49;3066;0;155;2911;27;0;0;27;1600;30;1505;40;25;
3174021007;DKI JAKARTA;JAKARTA SELATAN;SETIA BUDI;GUNTUR;443;0;14;0;429;7;0;0;0;7;12;0;2;10;755;0;22;733;3;0;0;3;217;3;209;3;2;
3174071002;DKI JAKARTA;JAKARTA SELATAN;KEBAYORAN BARU;GUNUNG;3534;0;263;3;3268;5;0;0;0;5;84;0;4;80;9414;0;302;9112;5;0;0;5;1186;32;1106;16;32;
3171031005;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;GUNUNG SAHARI SELATAN;1532;0;63;1;1468;8;0;0;0;8;60;0;23;37;3544;0;65;3479;14;0;0;14;1006;10;967;16;13;
3171021004;DKI JAKARTA;JAKARTA PUSAT;SAWAH BESAR;GUNUNG SAHARI UTARA;1416;1;117;1;1297;12;1;0;1;10;38;0;1;37;2456;0;95;2361;33;0;0;33;838;15;791;18;14;
3175081004;DKI JAKARTA;JAKARTA TIMUR;MAKASAR;HALIM PERDANA KUSUMAH;2591;0;294;2;2295;21;7;0;0;14;232;0;41;191;6055;0;159;5896;15;0;0;15;2274;71;2158;24;21;
3171031003;DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;HARAPAN MULIA;1927;0;99;3;1825;12;0;0;0;12;31;0;6;25;2356;0;66;2290;37;0;0;37;1013;11;965;18;19;
3174091001;DKI JAKARTA;JAKARTA SELATAN;JAGAKARSA;JAGAKARSA;6107;0;180;2;5925;24;0;0;0;24;28;0;2;26;5594;0;186;5408;37;0;0;37;3169;34;2985;54;96;
